"U_UCZELNIA_ID";"U_NAZWA_UCZELNI";"U_QS_CONTINUATION_RATE_1819";"U_QS_CONTINUATION_RATE_1920";"U_QS_CONTINUATION_RATE_2021";"U_QS_CONTINUATION_RATE_2122";"U_QS_N_ABS_1ST_1819";"U_QS_N_ABS_2ST_1819";"U_QS_N_ABS_JMGR_1819";"U_QS_N_ABS_DR_1819";"U_QS_N_PRACA_1ST_1819";"U_QS_N_PRACA_2ST_1819";"U_QS_N_PRACA_JMGR_1819";"U_QS_N_PRACA_DR_1819";"U_QS_N_BEZR_1ST_1819";"U_QS_N_BEZR_2ST_1819";"U_QS_N_BEZR_JMGR_1819";"U_QS_N_BEZR_DR_1819";"U_QS_N_STUD_1ST_1819";"U_QS_N_STUD_2ST_1819";"U_QS_N_STUD_JMGR_1819";"U_QS_N_STUD_DR_1819";"U_QS_N_UNABLE_1ST_1819";"U_QS_N_UNABLE_2ST_1819";"U_QS_N_UNABLE_JMGR_1819";"U_QS_N_UNABLE_DR_1819";"U_QS_N_ABS_1ST_1920";"U_QS_N_ABS_2ST_1920";"U_QS_N_ABS_JMGR_1920";"U_QS_N_ABS_DR_1920";"U_QS_N_PRACA_1ST_1920";"U_QS_N_PRACA_2ST_1920";"U_QS_N_PRACA_JMGR_1920";"U_QS_N_PRACA_DR_1920";"U_QS_N_BEZR_1ST_1920";"U_QS_N_BEZR_2ST_1920";"U_QS_N_BEZR_JMGR_1920";"U_QS_N_BEZR_DR_1920";"U_QS_N_STUD_1ST_1920";"U_QS_N_STUD_2ST_1920";"U_QS_N_STUD_JMGR_1920";"U_QS_N_STUD_DR_1920";"U_QS_N_UNABLE_1ST_1920";"U_QS_N_UNABLE_2ST_1920";"U_QS_N_UNABLE_JMGR_1920";"U_QS_N_UNABLE_DR_1920";"U_QS_N_ABS_1ST_2021";"U_QS_N_ABS_2ST_2021";"U_QS_N_ABS_JMGR_2021";"U_QS_N_ABS_DR_2021";"U_QS_N_PRACA_1ST_2021";"U_QS_N_PRACA_2ST_2021";"U_QS_N_PRACA_JMGR_2021";"U_QS_N_PRACA_DR_2021";"U_QS_N_BEZR_1ST_2021";"U_QS_N_BEZR_2ST_2021";"U_QS_N_BEZR_JMGR_2021";"U_QS_N_BEZR_DR_2021";"U_QS_N_STUD_1ST_2021";"U_QS_N_STUD_2ST_2021";"U_QS_N_STUD_JMGR_2021";"U_QS_N_STUD_DR_2021";"U_QS_N_UNABLE_1ST_2021";"U_QS_N_UNABLE_2ST_2021";"U_QS_N_UNABLE_JMGR_2021";"U_QS_N_UNABLE_DR_2021";"U_QS_N_ABS_1ST_2122";"U_QS_N_ABS_2ST_2122";"U_QS_N_ABS_JMGR_2122";"U_QS_N_ABS_DR_2122";"U_QS_N_PRACA_1ST_2122";"U_QS_N_PRACA_2ST_2122";"U_QS_N_PRACA_JMGR_2122";"U_QS_N_PRACA_DR_2122";"U_QS_N_BEZR_1ST_2122";"U_QS_N_BEZR_2ST_2122";"U_QS_N_BEZR_JMGR_2122";"U_QS_N_BEZR_DR_2122";"U_QS_N_STUD_1ST_2122";"U_QS_N_STUD_2ST_2122";"U_QS_N_STUD_JMGR_2122";"U_QS_N_STUD_DR_2122";"U_QS_N_UNABLE_1ST_2122";"U_QS_N_UNABLE_2ST_2122";"U_QS_N_UNABLE_JMGR_2122";"U_QS_N_UNABLE_DR_2122";"U_QS_STUDENT_ENTREPRENEURSHIPS_1819";"U_QS_STUDENT_ENTREPRENEURSHIPS_1920";"U_QS_STUDENT_ENTREPRENEURSHIPS_2021";"U_QS_STUDENT_ENTREPRENEURSHIPS_2122";"U_QS_ME_SALARY_1ST_1819";"U_QS_ME_SALARY_2ST_1819";"U_QS_ME_SALARY_JMGR_1819";"U_QS_ME_SALARY_DR_1819";"U_QS_ME_SALARY_1ST_1920";"U_QS_ME_SALARY_2ST_1920";"U_QS_ME_SALARY_JMGR_1920";"U_QS_ME_SALARY_DR_1920";"U_QS_ME_SALARY_1ST_2021";"U_QS_ME_SALARY_2ST_2021";"U_QS_ME_SALARY_JMGR_2021";"U_QS_ME_SALARY_DR_2021";"U_QS_ME_SALARY_1ST_2122";"U_QS_ME_SALARY_2ST_2122";"U_QS_ME_SALARY_JMGR_2122";"U_QS_ME_SALARY_DR_2122";"U_GRUP_UNEMPLOYMENT_1ST_1819";"U_GRUP_UNEMPLOYMENT_MGR_1819";"U_GRUP_UNEMPLOYMENT_DR_1819";"U_GRUP_UNEMPLOYMENT_1ST_1920";"U_GRUP_UNEMPLOYMENT_MGR_1920";"U_GRUP_UNEMPLOYMENT_DR_1920";"U_GRUP_UNEMPLOYMENT_1ST_2021";"U_GRUP_UNEMPLOYMENT_MGR_2021";"U_GRUP_UNEMPLOYMENT_DR_2021";"U_GRUP_UNEMPLOYMENT_1ST_2122";"U_GRUP_UNEMPLOYMENT_MGR_2122";"U_GRUP_UNEMPLOYMENT_DR_2122";"U_UMULTI_UNEMPLOYMENT_1ST_1819";"U_UMULTI_UNEMPLOYMENT_2ST_1819";"U_UMULTI_UNEMPLOYMENT_JMGR_1819";"U_UMULTI_UNEMPLOYMENT_1ST_1920";"U_UMULTI_UNEMPLOYMENT_2ST_1920";"U_UMULTI_UNEMPLOYMENT_JMGR_1920";"U_UMULTI_UNEMPLOYMENT_1ST_2021";"U_UMULTI_UNEMPLOYMENT_2ST_2021";"U_UMULTI_UNEMPLOYMENT_JMGR_2021";"U_UMULTI_UNEMPLOYMENT_1ST_2122";"U_UMULTI_UNEMPLOYMENT_2ST_2122";"U_UMULTI_UNEMPLOYMENT_JMGR_2122";"U_UMULTI_REGION_1ST_1819";"U_UMULTI_REGION_2ST_1819";"U_UMULTI_REGION_JMGR_1819";"U_UMULTI_REGION_1ST_1920";"U_UMULTI_REGION_2ST_1920";"U_UMULTI_REGION_JMGR_1920";"U_UMULTI_REGION_1ST_2021";"U_UMULTI_REGION_2ST_2021";"U_UMULTI_REGION_JMGR_2021";"U_UMULTI_REGION_1ST_2122";"U_UMULTI_REGION_2ST_2122";"U_UMULTI_REGION_JMGR_2122";"U_UMULTI_N_18";"U_UMULTI_N_19";"U_UMULTI_N_20";"U_UMULTI_N_21";"U_UMULTI_N_22";"U_UMULTI_NFIRM_20";"U_UMULTI_NFIRM_21";"U_UMULTI_NFIRM_22";"U_UMULTI_NFIRM_23"
2001;"Wyższa Szkoła Nauk Pedagogicznych";22;16,7;46,2;;50;120;0;0;40;106;0;0;3;0;0;0;7;3;0;0;2;0;0;0;6;14;0;0;6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;12;63;0;20;10;54;0;2;0;4;0;4;0;2;0;0;1;1;0;0;2;188;0;0;2;171;0;0;0;2;0;0;0;1;0;0;0;2;0;6;1;1;2;3624,41;4111,88;;;4052,03;4036,17;;;3243,93;3982,41;4012,68;;;;5164,43;;6;1,7;;0;0;;11,5;2,7;;;1,1;;;0;;;0;;0;0;7,5;;;1,2;6;9,3;;33,3;7,1;;11,5;0;9,5;;;4,8;113;189;1;105;214;15;7;1;6
2002;"Warszawska Szkoła Wyższa z siedzibą w Otwocku";41,9;17,1;;;31;0;0;0;29;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;33;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;5032,6;;;;4513,88;;;;;;;;;;;;3,2;;;5,7;;;;;;;;;0;;;3,3;;;;;;;;;90,3;;;71,4;;;;;;;;;43;32;34;0;0;1;3;3;0
2006;"Wyższa Szkoła Informatyki i Zarządzania COPERNICUS we Wrocławiu";33,3;16,9;19,8;19,4;108;0;0;0;93;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;71;18;0;0;67;16;0;0;2;0;0;0;1;0;0;0;0;0;0;0;111;8;0;0;99;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;139;20;0;0;123;20;0;0;3;0;0;0;8;0;0;0;2;0;0;0;10;19;24;28;3945,86;;;;5941,93;6963,67;;;5680,36;7636,23;;;6257,89;9139,17;;;0,9;;;4,2;0;;0,9;0;;5;0;;0;;;3,1;0;;0;0;;2,6;0;;67;;;65,2;61,1;;63;62,5;;60,9;75;;133;107;98;131;167;29;39;60;65
2007;"Społeczna Akademia Nauk z siedzibą w Łodzi";47;46,2;42,5;35,9;2199;1734;69;0;1433;1364;59;0;84;65;1;0;358;40;3;0;26;38;2;0;2303;1878;50;0;1512;1467;44;0;73;64;0;0;443;108;1;0;37;47;1;0;2123;1583;58;0;1346;1224;53;0;58;39;1;0;358;61;1;0;34;36;0;0;2470;1287;111;0;1530;998;93;0;60;18;1;0;372;40;1;0;29;23;0;0;207;203;198;201;3329,17;3578,32;3520,84;;3618,43;3757,99;3769,39;;3998,4;4141,08;4239,68;;4485,66;4991,67;5281,17;;3,9;3,7;;3,7;4,1;;3,3;2,8;;2,8;2,6;;3,2;3,5;2,4;3,7;3,4;0;3,3;2,7;2;2,7;1,4;1;45,1;48,5;73,9;44,7;40;62;42,7;41,5;81;49,3;48,9;74,5;4168;4091;4029;3614;3643;458;454;450;436
2008;"Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach";51,8;58,6;38,4;44,3;313;276;0;0;231;225;0;0;11;10;0;0;54;2;0;0;6;6;0;0;237;156;0;0;174;125;0;0;10;4;0;0;45;4;0;0;6;1;0;0;310;281;0;0;231;191;0;0;1;4;0;0;65;4;0;0;4;2;0;0;357;220;0;0;257;180;0;0;4;4;0;0;65;6;0;0;1;2;0;0;23;14;22;14;3567,74;3837,74;;;3720,37;4133,59;;;4498,01;4354,85;;;4625,98;5039,97;;;2,2;2,5;;2,5;3,2;;0,6;2,1;;2;1,8;;2;3,9;;5,8;2,7;;0;1,5;;1,6;1,9;;64,3;69,9;;66;70,8;;65,6;57,7;;63,2;67,1;;581;584;407;577;617;58;42;43;42
2009;"Polsko-Japońska Akademia Technik Komputerowych";31,4;30,8;29,1;29,9;462;101;9;3;272;76;5;2;9;5;1;0;81;4;0;0;0;1;0;0;595;167;1;1;348;136;1;0;7;0;0;0;111;3;0;0;1;0;0;0;636;181;4;4;354;144;3;4;10;2;0;0;110;1;0;0;3;0;0;0;696;238;0;2;398;183;0;2;11;2;0;0;110;5;0;0;2;0;0;0;101;142;147;170;6117,89;7240,66;2465,22;;6832,09;10014,09;;;7016,8;9122,49;;16322,55;7920,71;11410,16;;;1,9;4,5;0;2,4;1,2;;1,6;2,7;0;1,4;1,3;;2,4;4,3;11,1;1,4;0;;2;0,6;0;2;0,9;;45,2;52,5;44,4;46,2;47,9;;43,6;53,6;25;44,9;49,4;;570;570;762;833;938;243;286;364;408
2010;"Wyższa Szkoła Filologiczna we Wrocławiu";44,4;44,8;;;248;146;0;0;146;118;0;0;9;1;0;0;52;0;0;0;3;2;0;0;270;151;0;0;160;125;0;0;10;5;0;0;60;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;22;0;0;3906,64;4345,02;;;3865,93;4353,49;;;;;;;;;;;4;1,4;;4,1;4,6;;;;;;;;3,4;0,7;;5,9;3,5;;;;;;;;37,7;52,1;;41,5;47,9;;;;;;;;363;360;399;0;0;46;58;25;0
2012;"Uczelnia Jana Wyżykowskiego";29,1;27,9;37,8;19,7;175;49;0;0;146;44;0;0;5;0;0;0;11;0;0;0;3;2;0;0;179;44;0;0;158;39;0;0;7;0;0;0;3;0;0;0;4;1;0;0;143;48;0;0;126;45;0;0;3;0;0;0;8;0;0;0;1;1;0;0;147;42;0;0;122;38;0;0;2;1;0;0;4;0;0;0;4;1;0;0;13;9;8;5;5159,41;3774,2;;;5033,78;4210,12;;;5951,55;4116,8;;;6093,03;5529,85;;;1,7;2;;1,1;0;;4,2;2,1;;1,4;4,8;;2,4;0;;5;0;;1;0;;0,8;2,5;;80;81,6;;82;82,9;;83,9;85,4;;78,8;83,3;;230;218;217;184;174;20;22;22;10
2013;"Wyższa Szkoła Administracji Publicznej w Ostrołęce";24,2;29,4;42,3;17,3;91;0;0;0;64;0;0;0;10;0;0;0;5;0;0;0;2;0;0;0;51;0;0;0;35;0;0;0;8;0;0;0;1;0;0;0;1;0;0;0;71;0;0;0;52;0;0;0;5;0;0;0;5;0;0;0;4;0;0;0;75;0;0;0;57;0;0;0;8;0;0;0;3;0;0;0;0;0;0;0;2;3;3;0;3210,03;;;;3270;;;;2905;;;;4115,37;;;;9,9;;;11,8;;;8,5;;;12;;;9,2;;;14,6;;;6,7;;;13,1;;;61,5;;;64,7;;;67,6;;;62,7;;;68;77;51;80;81;6;6;7;3
2015;"Wyższa Szkoła Bankowa w Poznaniu";48,7;47,4;44,4;37,7;2247;1450;18;0;1784;1241;15;0;56;29;2;0;228;11;0;0;24;42;0;0;2817;1574;47;0;2128;1383;38;0;57;20;0;0;368;16;2;0;46;28;4;0;3227;1509;38;0;2543;1312;31;0;40;17;3;0;387;29;0;0;33;27;0;0;3597;1700;33;0;2700;1509;25;0;47;18;0;0;416;14;2;0;34;23;0;0;231;282;329;374;3632,34;3970,03;3151,56;;3722,93;4235,43;3023,88;;4230,19;4584,38;3453,76;;4811,58;5233,65;3275,67;;1,7;2;;2,4;2;;1,4;1,7;;1,3;1,4;;3;2,1;11,1;2,8;1,3;0;1,4;1,1;5,4;1,7;1,1;0;72,2;78;72,2;68,9;79;74,5;72,2;78,8;71,1;67,7;77,8;63,6;3478;3730;4309;4738;5530;503;590;696;866
